property_id,area_sqft,bedrooms,bathrooms,location,property_age,garage_spaces,has_garden,near_metro,price
1001,1200,3,2,Atlanta,10,1,Yes,Yes,285000
1002,1800,4,3,Atlanta,5,2,Yes,No,420000
1003,950,2,1,Sandy Springs,15,0,No,Yes,210000
1004,2200,4,3,Alpharetta,3,2,Yes,Yes,510000
1005,1400,3,2,Norcross,8,1,No,Yes,320000
1006,1600,3,2,Duluth,12,2,Yes,No,340000
1007,2000,4,3,Johns Creek,4,2,Yes,Yes,495000
1008,1100,2,2,Norcross,20,1,No,No,230000
1009,2500,5,4,Alpharetta,2,3,Yes,Yes,620000
1010,1300,3,2,Duluth,9,1,Yes,Yes,305000
